SECTION ID,HIGHWAY,SECTION,SECTION LENGTH,SECTION DESCRIPTION,Date,DESCRIPTION,GROUP,TYPE,COUNTY,PTRUCKS,ADT,AADT,DIRECTION,85PCT,PRIORITY_POINTS
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/20/2022,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,7104.0,6390.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),04/21/2021,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,6023.0,6290.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/09/2019,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,6164.0,5520.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07/03/2019,TK 1 AT ETTER RD (MT UNIACKE),nan,SA,HAN,nan,nan,nan,nan,nan,27.0
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M WEST OF ETTER RD (WB),B,VC,HAN,6.0,2984.0,2690.0,W,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M EAST OF ETTER RD (WB),B,VC,HAN,8.0,4266.0,3840.0,W,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M EAST OF ETTER RD (EB),B,VC,HAN,9.0,3934.0,3545.0,E,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),06/17/2019,200 M WEST OF ETTER RD (EB),B,VC,HAN,5.0,2924.0,2640.0,E,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),11/01/2018,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,5891.0,5890.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07/06/2017,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (WB),B,VC,HAN,6.0,2958.0,2660.0,W,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),07/06/2017,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (EB),B,VC,HAN,5.0,3063.0,2750.0,E,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/31/2016,JUST EAST OF DEMMINGS DR INTER/S,B,TC,HAN,nan,4211.0,4310.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/19/2016,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,5660.0,5430.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/28/2015,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,5427.0,5020.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/16/2013,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (EB),B,VC,HAN,6.0,2815.0,2590.0,E,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),09/16/2013,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (WB),B,VC,HAN,6.0,2725.0,2500.0,W,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/22/2012,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,5745.0,5530.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/13/2011,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,5640.0,5420.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),11/12/2009,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,5145.0,5260.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),10/20/2008,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE,B,TC,HAN,nan,5295.0,5110.0,nan,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),08/01/2007,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (EB),A,VC,HAN,5.0,2666.0,2360.0,E,nan,nan
1050,1,50,7.6,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),08/01/2007,1.5 KM WEST OF HALIFAX/HANTS COUNTY LINE (WB),A,VC,HAN,5.0,2624.0,2320.0,W,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07/13/2023,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,5089.0,4260.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),06/20/2022,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,4548.0,4090.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/20/2021,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,4365.0,4150.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),08/20/2020,JUST WEST OF OLD UNIACKE MINES RD (WB),B,VC,HAN,4.0,1807.0,1390.0,W,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),08/20/2020,JUST WEST OF OLD UNIACKE MINES RD (EB),B,VC,HAN,4.0,1787.0,1380.0,E,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/16/2019,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,4351.0,3880.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),11/01/2018,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,3512.0,3510.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07/06/2017,1 KM WEST OF OLD UNIACKE MINES RD (WB),B,VC,HAN,4.0,1898.0,1710.0,W,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07/06/2017,1 KM WEST OF OLD UNIACKE MINES RD (EB),B,VC,HAN,3.0,1830.0,1650.0,E,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/19/2016,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,3533.0,3220.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/28/2015,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,3227.0,2990.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/24/2013,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,3603.0,3320.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/22/2012,1 KM WEST OF OLD UNIACKE MINES RD (EB),B,VC,HAN,30.0,1625.0,1560.0,E,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/22/2012,1 KM WEST OF OLD UNIACKE MINES RD (WB),B,VC,HAN,4.0,1694.0,1630.0,W,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07/07/2011,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,3747.0,3220.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),11/12/2009,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,2906.0,2970.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/20/2008,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,3093.0,2990.0,nan,nan,nan
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),08/01/2007,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,nan,3474.0,2800.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07/13/2023,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,2627.0,2050.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),06/20/2022,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,2234.0,1930.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2021,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,3.0,999.0,970.0,E,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2021,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,4.0,1047.0,1020.0,W,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/19/2020,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,1870.0,1820.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/09/2019,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,2074.0,1780.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07/06/2017,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,3.0,1075.0,860.0,E,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07/06/2017,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,4.0,1130.0,910.0,W,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/19/2016,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,2176.0,1940.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/28/2015,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,1888.0,1690.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/16/2013,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,2226.0,2010.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),05/27/2013,JUST WEST OF ROBERT DR,C,TC,HAN,nan,2143.0,2010.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/22/2012,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,2082.0,1980.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07/07/2011,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,2188.0,1700.0,nan,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),11/10/2009,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,3.0,831.0,920.0,W,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),11/10/2009,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,4.0,801.0,890.0,E,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2008,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,4.0,894.0,860.0,W,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2008,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,4.0,874.0,840.0,E,nan,nan
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),08/01/2007,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,nan,2167.0,1570.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),07/13/2023,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,4517.0,3780.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),06/20/2022,1 KM EAST OF HWY 101 (ST CROIX) (EB),B,VC,HAN,6.0,1973.0,1770.0,E,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),06/20/2022,1 KM EAST OF HWY 101 (ST CROIX) (WB),B,VC,HAN,6.0,1817.0,1630.0,W,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),10/20/2021,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,4390.0,4180.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),10/19/2020,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,4022.0,3830.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09/09/2019,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,4079.0,3650.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),11/01/2018,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,3848.0,3850.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),07/06/2017,1 KM EAST OF HWY 101 (ST CROIX) (EB),B,VC,HAN,5.0,1993.0,1790.0,E,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),07/06/2017,1 KM EAST OF HWY 101 (ST CROIX) (WB),B,VC,HAN,10.0,2014.0,1810.0,W,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),07/18/2016,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,4325.0,3640.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09/16/2013,1 KM EAST OF HWY 101 (ST CROIX) (EB),B,VC,HAN,5.0,1796.0,1650.0,E,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09/16/2013,1 KM EAST OF HWY 101 (ST CROIX) (WB),B,VC,HAN,5.0,1852.0,1700.0,W,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),10/22/2012,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,3651.0,3510.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09/22/2011,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,3748.0,3440.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),09/10/2009,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,3343.0,3420.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),10/20/2008,1 KM EAST OF HWY 101 (ST CROIX),B,TC,HAN,nan,3452.0,3330.0,nan,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),08/01/2007,1 KM EAST OF HWY 101 (ST CROIX) (WB),B,VC,HAN,4.0,1869.0,1510.0,W,nan,nan
1070,1,70,3.67,RTE 215 (NEWPORT CORNER) TO HWY 101 (ST CROIX),08/01/2007,1 KM EAST OF HWY 101 (ST CROIX) (EB),B,VC,HAN,4.0,1797.0,1450.0,E,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,07/13/2023,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2406.0,2010.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/31/2022,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2218.0,2280.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/20/2021,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2710.0,2580.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/19/2020,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2079.0,1980.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,08/20/2020,JUST WEST OF ST CROIX RIVER BRIDGE (EB),B,VC,HAN,4.0,924.0,710.0,E,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,08/20/2020,JUST WEST OF ST CROIX RIVER BRIDGE (WB),B,VC,HAN,5.0,924.0,710.0,W,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,09/09/2019,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2233.0,2000.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11/01/2018,JUST WEST OF PLEASANT ST (EB),B,VC,HAN,6.0,944.0,940.0,E,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11/01/2018,JUST WEST OF PLEASANT ST (WB),B,VC,HAN,5.0,965.0,970.0,W,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/17/2017,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2290.0,2120.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,07/18/2016,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2442.0,2060.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,09/30/2015,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2114.0,1960.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,09/16/2013,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2434.0,2240.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/23/2012,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2242.0,2160.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,09/22/2011,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2352.0,2160.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11/10/2009,JUST WEST OF PLEASANT ST (WB),B,VC,HAN,6.0,1055.0,1080.0,W,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,11/10/2009,JUST WEST OF PLEASANT ST (EB),B,VC,HAN,5.0,1061.0,1080.0,E,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,10/20/2008,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2262.0,2180.0,nan,nan,nan
1080,1,80,8.96,HWY 101 (ST CROIX) TO WINDSOR-GARLANDS CROSSING LINE,08/01/2007,JUST WEST OF PLEASANT ST,B,TC,HAN,nan,2527.0,2040.0,nan,nan,nan
1085,1,85,0.92,WINDSOR-GARLANDS CROSSING LINE TO TK 14 (WINDSOR),03/23/2006,AT TK 14  (GARLAND CROSSING),nan,SA,HAN,nan,nan,nan,nan,nan,42.0
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,07/13/2023,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,nan,8178.0,7130.0,nan,nan,nan
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,09/21/2022,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,nan,7656.0,7130.0,nan,nan,nan
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,10/20/2021,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,nan,6828.0,6580.0,nan,nan,nan
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,10/19/2020,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,nan,6114.0,5900.0,nan,nan,nan
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,08/15/2019,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,nan,6803.0,5880.0,nan,nan,nan
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,10/17/2017,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,nan,6261.0,6110.0,nan,nan,nan
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,07/27/2016,JUST WEST OF FALMOUTH BRIDGE (WB),A,VC,HAN,6.0,3198.0,2830.0,W,nan,nan
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,07/27/2016,JUST WEST OF FALMOUTH BRIDGE (EB),A,VC,HAN,6.0,3237.0,2870.0,E,nan,nan
1095,1,95,1.16,WINDSOR-FALMOUTH LINE TO FALMOUTH CONN,09/30/2015,JUST WEST OF FALMOUTH BRIDGE,A,TC,HAN,nan,6534.0,6260.0,nan,nan,nan
